Dataset,Mixture Label,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29,smi_30,smi_31,smi_32,smi_33,smi_34,smi_35,smi_36,smi_37,smi_38,smi_39,smi_40,smi_41,smi_42
Ravia,97,CC(C)C(=O)O,COC1=CC=C(C=C1)C=O,CCCO,COC(=O)C1=CC=CC=C1,CSSSC,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CCCC(=O)O,CCC(C=C)O,CC(C1=CC=CC=C1)C(OC)OC,CCCCO,CCSCC,CC[C@@H](C)O,CCCCC=O,CCCCCO,CSCCCO,CCOC(=O)C,CC(=CCO)C,CCCC=O,CC/C=C/CCO,CCC/C=C/CO,CC(=CCC/C(=C/CO)/C)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,
Ravia,98,CC(C)C(=O)O,CC(=O)C,CC(C)O,C1=COC(=C1)CS,CCOC=O,CSSSC,CCC(C=C)O,CCCC(C)O,CCCCO,CCC(=O)O,CCC(=O)C,CSCCCO,CCC(C)C=O,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCCCC(=O)OCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,99,CSC,COC1=CC=C(C=C1)C=O,CC(=O)C,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CCOC=O,C[C@@H](CCC=C(C)C)CCO,CC(=CCC[C@](C)(C=C)O)C,CCCC(=O)O,CCC=O,CCSCC,CC(=O)OC,CCC(=O)O,CC[C@@H](C)O,CCCCCO,CSCCCO,CCOC(=O)C,CCC(C)C=O,CC(=CCO)C,CC/C=C/CCO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,CC(=CCC/C(=C/C=O)/C)C,C/C=C/C1=CC(=C(C=C1)OC)OC,COC1=C(C=CC(=C1)CC=C)O,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,
Ravia,100,CCCO,C=CCCC(=O)O,CCOC=O,CSSSC,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CC(C)CC=O,CCCC(C)O,CCC=O,CCSCC,CCC(=O)O,CSCCCO,CCC(C)C=O,CC(=CCO)C,CCCC=O,CC/C=C/CCO,CCCCCCO,CC(=CCC/C(=C/C=O)/C)C,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,101,CC(C)O,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CCC(C=C)O,CCCC(C)O,CCC=O,CC(=O)OC,CCC(=O)O,CCC(=O)C,CC[C@@H](C)O,CCCCC=O,CCCCCO,CCC(C)C=O,CCC/C=C/CO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,
Ravia,102,CCCCCCCC(=O)OCC,CC(C)C(=O)O,COC1=CC=C(C=C1)C=O,CC(=O)O,C1=COC(=C1)CS,CC(=O)C1=CC=CC=N1,C=CCCC(=O)O,CC(C)C=O,CC(C1=CC=CC=C1)C(OC)OC,CCSCC,CC(=O)OC,CCC(=O)O,CC[C@@H](C)O,CC(=CCO)C,CC/C=C/CCO,COC1=C(C=CC(=C1)CC=C)O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,103,CSC,CC(C)O,COC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=N1,C=CCCC(=O)O,CCOC=O,CSSSC,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CC(=CCC[C@](C)(C=C)O)C,CC(C)CC=O,CCCC(C)O,CC(C1=CC=CC=C1)C(OC)OC,CCCCO,CC(=O)OC,CC[C@@H](C)O,CCCCCO,CSCCCO,CCOC(=O)C,CCCC(=O)C,CC/C=C/CCO,CCC/C=C/CO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,COC1=C(C=CC(=C1)CC=C)O,CC(C)CC(=O)O,,,,,,,,,,,,,,,
Ravia,104,CSC,CC(C)C(=O)O,COC1=CC=C(C=C1)C=O,CCCO,CC(=O)O,C1=COC(=C1)CS,CC(=O)C1=CC=CC=N1,C=CCCC(=O)O,CCOC=O,CSSSC,CC(C)C=O,CC(C)CC=O,CC(C1=CC=CC=C1)C(OC)OC,CCC=O,CCCCO,CCSCC,CCCCC=O,CCCCCO,CSCCCO,CCCC(=O)C,CCCC=O,CC/C=C/CCO,CCC/C=C/CO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,COC1=C(C=CC(=C1)CC=C)O,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,
Ravia,105,CCCCCCCC(=O)OCC,CC(C)O,COC(=O)C1=CC=CC=C1,CSSSC,CC(C)C=O,CCC(=O)C,CC[C@@H](C)O,CCCCCO,CC(=CCO)C,CC(=CCC/C(=C/CO)/C)C,CCCCCC(=O)OCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,106,CCCCCCCC(=O)OCC,CSC,CC(C)C(=O)O,CC(=O)O,C1=COC(=C1)CS,CC(=O)C1=CC=CC=N1,CCOC=O,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CC(C)CC=O,CCCCO,CCSCC,CCC(=O)O,CCC(=O)C,CC[C@@H](C)O,CCCCC=O,CSCCCO,CCCC(=O)C,CCC(C)C=O,CC(=CCO)C,CCCC=O,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,CC(=CCC/C(=C/C=O)/C)C,CCCCCOC(=O)CCC,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,
Ravia,107,COC1=CC=C(C=C1)C=O,CC(=O)C,CCOC=O,CSSSC,CCCC(C)O,CCCCO,CSCCCO,CCCC(=O)C,CCCCCOC(=O)CCC,COC1=C(C=CC(=C1)CC=C)O,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,108,CC(=O)C,CC(C)O,COC(=O)C1=CC=CC=C1,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CCCC(=O)O,CC(C)CC=O,CCCC(C)O,CCC=O,CCOC(=O)C,CCCC(=O)C,CCCC=O,CC(CCC=C(C)C)CCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,109,CC(=O)O,CC(=O)C,C1=COC(=C1)CS,CCCC(=O)O,CCC(C=C)O,CCCCO,CCSCC,CCC(=O)O,CC[C@@H](C)O,CCCCCO,CCCC(=O)C,CC(=CCO)C,CC(=CCC/C(=C/C=O)/C)C,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,110,CC(C)O,CC(=O)C1=CC=CC=N1,CCOC=O,CSSSC,CC(=CCC[C@](C)(C=C)O)C,CCCC(=O)O,CC(C)CC=O,CCC(C=C)O,CCCC(C)O,CC(C1=CC=CC=C1)C(OC)OC,CCC=O,CCCCO,CCC(=O)O,CCC(=O)C,CCCCC=O,CSCCCO,CCOC(=O)C,CCCC(=O)C,CCC(C)C=O,CCCC=O,CC/C=C/CCO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCCCOC(=O)CCC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,,,,,,,,,,,,,,,
Ravia,111,CCCCCCCC(=O)OCC,CSC,COC1=CC=C(C=C1)C=O,CC(C)O,COC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=N1,CSSSC,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CCC(C=C)O,CC(C1=CC=CC=C1)C(OC)OC,CCCCO,CC(=O)OC,CCCCCO,CSCCCO,CCC(C)C=O,CC/C=C/CCO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,,,,,,,,,,,,,,,,,,,,,
Ravia,112,CSC,CC(C)C(=O)O,COC1=CC=C(C=C1)C=O,CCCO,CC(C)O,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=N1,CC(C)C=O,CC(C)CC=O,CCC(C=C)O,CC(C1=CC=CC=C1)C(OC)OC,CCC=O,CCSCC,CCC(=O)O,CCC(=O)C,CCCCC=O,CCCCCO,CCC(C)C=O,CC(=CCO)C,CCC/C=C/CO,CCCCCCO,COC1=C(C=CC(=C1)CC=C)O,CC(CCC=C(C)C)CCO,,,,,,,,,,,,,,,,,,,
Ravia,113,CC(C)O,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CCOC=O,CSSSC,CCCC(=O)O,CCC(C=C)O,CCCCO,CCSCC,CC[C@@H](C)O,CSCCCO,CCCC(=O)C,CCC(C)C=O,CC/C=C/CCO,CCC/C=C/CO,CCCCCCO,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,COC1=C(C=CC(=C1)CC=C)O,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,
Ravia,114,CCCCCCCC(=O)OCC,CSC,COC1=CC=C(C=C1)C=O,CCCO,CC(=O)C,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=N1,CCOC=O,CC(C)C=O,CCCC(=O)O,CCCC(C)O,CC(C1=CC=CC=C1)C(OC)OC,CCCCO,CCSCC,CCC(=O)O,CC[C@@H](C)O,CCCCC=O,CCCCCO,CSCCCO,CC(=CCO)C,CC/C=C/CCO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CC(C)CC(=O)O,,,,,,,,,,,,,,,,
Ravia,115,CCCCCCCC(=O)OCC,CSC,COC1=CC=C(C=C1)C=O,CC(=O)O,CC(=O)C,CC(C)O,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=N1,C=CCCC(=O)O,CSSSC,C[C@@H](CCC=C(C)C)CCO,CC(=CCC[C@](C)(C=C)O)C,CC(C)CC=O,CCC(C=C)O,CCCCO,CC(=O)OC,CCC(=O)O,CCC(=O)C,CC[C@@H](C)O,CCCC(=O)C,CC(=CCO)C,CCCC=O,CCC/C=C/CO,CCCCCCO,CC(=CCC/C(=C/CO)/C)C,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CCCCCC(=O)OCC=C,CC(C)CC(=O)O,,,,,,,,,,,,,
Ravia,116,CCCCCCCC(=O)OCC,COC1=CC=C(C=C1)C=O,CCCO,C1=COC(=C1)CS,CC(=O)C1=CC=CC=N1,CCOC=O,CSSSC,C[C@@H](CCC=C(C)C)CCO,CCC(C=C)O,CC(C1=CC=CC=C1)C(OC)OC,CCCCC=O,CCCCCO,CCCC(=O)C,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCCCC(=O)OCC=C,COC1=C(C=CC(=C1)CC=C)O,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,117,CC(C)C(=O)O,CCCO,CC(=O)O,CC(=O)C,C1=COC(=C1)CS,COC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=N1,CCOC=O,CSSSC,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CCCC(=O)O,CC(C)CC=O,CC(C1=CC=CC=C1)C(OC)OC,CCCCO,CC[C@@H](C)O,CCCCC=O,CCCCCO,CSCCCO,CCCC(=O)C,CC(=CCO)C,CCCC=O,CC/C=C/CCO,CCC/C=C/CO,CCCCCOC(=O)CCC,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,
Ravia,118,CSC,CCCO,CC(=O)C,CC(C)O,CC(=O)C1=CC=CC=N1,C=CCCC(=O)O,CCOC=O,CC(C)C=O,C[C@@H](CCC=C(C)C)CCO,CCCC(=O)O,CC(C)CC=O,CCC(C=C)O,CCCC(C)O,CCCCO,CC(=O)OC,CCC(=O)O,CCCCC=O,CCC(C)C=O,CC/C=C/CCO,CCCCCCO,C/C=C/C1=CC(=C(C=C1)OC)OC,CCCCCOC(=O)CCC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,
Ravia,119,CCCCCCCC(=O)OCC,CC(C)O,CCCC(=O)O,CC(C1=CC=CC=C1)C(OC)OC,CCC(=O)C,CSCCCO,CCCC=O,CC/C=C/CCO,CC(=CCC/C(=C/C=O)/C)C,CCCCCOC(=O)CCC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,120,CCCCCCCC(=O)OCC,CSC,COC(=O)C1=CC=CC=C1,CSSSC,C[C@@H](CCC=C(C)C)CCO,CCCC(=O)O,CCC=O,CCCCO,CCC(=O)C,CCOC(=O)C,CCC(C)C=O,CC(=CCO)C,CCCC=O,CCCCCCO,CCCCCOC(=O)CCC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CCCCCC(=O)OCC=C,CC(CCC=C(C)C)CCO,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,1,CSSC,CC1=CC=C(C=C1)OC,CC(CCCC(C)(C)O)CC=O,C1CCC(CC1)O,CCCS,CCCCCC(C=C)O,CC(=CCC[C@](C)(C=C)O)C,CSC,CC1(C2CCC(O1)(CC2)C)C,CCCCCC1CCC(=O)O1,CC(C)C1=CC=C(C=C1)C=O,CN(C)C,C1=CC=C(C=C1)/C=C/C=O,CCCCCC(C)O,CCCCCCCCC(=O)C,CCCSCCC,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(=CC(=O)C)C,C1CCSC1,C#CC1=CC=CC=C1,CCCCCCO,CCOC(=O)C(C)O,CCCCCC(=O)C,CC1CCC(=O)O1,COC1=CC=CC=C1O,C1=CC=C(C=C1)OC2=CC=CC=C2,CCCCSCCCC,CCCCCCCC(C)O,CC(C)C(=O)O,CCCCC(=O)O,,,,,,,,,,,,,
Bushdid,2,CC1=CC[C@@H](CC1)C(=C)C,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,C1=CSC=C1,COC1=C(C=CC(=C1)CC=C)O,CCCCOC(=O)C,C1=CC=C2C(=C1)C=CN2,CCCCCC=O,CCCCCC(=O)O,CCOC=O,C1=CC=C(C=C1)CCO,CC1=CC=C(C=C1)C(C)C,CCCCNCCCC,C1=CC=C(C=C1)CC(=O)O,CC(=O)C(=O)O,CCCCCCOC(=O)CCCCC,CCCCCOC(=O)CCC,C=CCCC(=O)O,CC1=CC=C(C=C1)O,CC(C)CC(=O)O,CCCCCCCCCC(=O)OCC,CC(C)C=O,CCCC(C)O,CCCC(=O)CC,CC1=CC[C@H](CC1)C(C)(C)O,CC1=CC=C(C=C1)OC(=O)C,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,CCC(=O)OCC,C[C@@H](CCC=C(C)C)CCO,CCCCCCCC(=O)OCC,CCCC(=O)OCC,,,,,,,,,,,,,
Bushdid,3,COC1=C(C=CC(=C1)CC=C)O,CCCCCOC(=O)CCCC,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CCC(=O)OCC,CC(C)C=O,CCCC(CC)O,CCCCCCCCCC(=O)OCC,CCCCCC1CCC(=O)O1,CCCC(C)O,CCCCCC(C=C)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,4,COC1=C(C=CC(=C1)CC=C)O,CCCCCOC(=O)CCCC,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CCC(=O)OCC,CC(C)C=O,CCCC(CC)O,CSC,CCOC(=O)C1=CC=CC=C1,CC(C)CC=O,CCCCCOC(=O)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,5,CC1=CC=C(C=C1)OC(=O)C,CC1=CC=C(C=C1)O,CC(CCCC(C)(C)O)CC=O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(=CCC[C@](C)(C=C)O)C,CCCCCCOC(=O)CCCCC,CCCCCCCC=O,CCCCCCCCCC(=O)OCC,CCCCCCC=O,CC(=O)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,6,CC1=CC=C(C=C1)OC(=O)C,CC1=CC=C(C=C1)O,CC(CCCC(C)(C)O)CC=O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(=CCC[C@](C)(C=C)O)C,CCCCCCOC(=O)CCCCC,CCCCCCCC=O,CCCCCCCCCC(=O)OCC,CCCCCCC=O,CSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,7,CC(C(=O)O)O,CC(CCCC(C)(C)O)CC=O,CCCC(C)O,CC(C)C1=CC=C(C=C1)C=O,CC1=CCC2CC1C2(C)C,CCC/C=C/C=O,CCCCCCO,CCCCCCCC(=O)OC,CC(C)CCOC(=O)C,C1=CC=C(C=C1)C=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,8,CCCCNCCCC,CC1=CC(=O)CC(C1)(C)C,C1=CSC=C1,CC1=CC(=C(C=C1Cl)C(C)C)O,COC1=CC=CC=C1,CCCCCOC(=O)CCCC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,C=CCCC(=O)O,CC(C)(CCC1=CC=CC=C1)O,CC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,9,COC(=O)C1=CC=CC=C1O,CC1=CC2=C(C=C1)N=CC=C2,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCCO,CCCC(=O)OC,CCC(=O)OC,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CC(=O)C,CC(=O)C1=CC=CC=N1,CC1=CC(=O)CC(C1)(C)C,CCC1=CC(=C(C=C1)O)OC,C1=CC=C(C=C1)/C=C/C=O,CCCCCC(=O)C,CC(CCCC(C)(C)O)CC=O,CCCCCC(=O)O,CC1=CC=C(C=C1)O,CSSC,CCOC(=O)CCC(=O)OCC,CCCCCCO,CCCCOC(=O)C,CCCCC/C=C/C=C/C=O,CN(C)C,CCCCCCCCCC(=O)O,CCCCCCCC1CCC(=O)O1,CC1=CC(=C(C=C1)C(C)C)O,C1=CC=C2C(=C1)C=CN2,COC1=CC=C(C=C1)C=O,CCCCCCCC=O,COC(=O)C1=CC=CC=C1N,CCCCCCCC(=O)OC,,,,,,,,,,,,,
Bushdid,10,COC(=O)C1=CC=CC=C1O,CC1=CC2=C(C=C1)N=CC=C2,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCCO,CCCC(=O)OC,CCC(=O)OC,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CC(=O)C,CC(=O)C1=CC=CC=N1,CC1=CC(=O)CC(C1)(C)C,CCC1=CC(=C(C=C1)O)OC,C1=CC=C(C=C1)/C=C/C=O,CCCCCC(=O)C,CC(CCCC(C)(C)O)CC=O,CCCCCC(=O)O,CC1=CC=C(C=C1)O,CSSC,CCOC(=O)CCC(=O)OCC,CCCCCCO,CCCCOC(=O)C,C1=COC(=C1)CS,CCCCCOC(=O)CCC,CCCCC(=O)O,CC1=CC(=C(C=C1Cl)C(C)C)O,C1=CC=C(C=C1)C=O,CCCCCCCCCC(=O)OCC,CCCCCCOC(=O)CCCCC,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,CC(=CCC[C@](C)(C=C)O)C,CCCC(=O)OCC,,,,,,,,,,,,,
Bushdid,11,CCC(=O)OCC,CC1=CCC2CC1C2(C)C,CC(=O)O,CC(C)CCOC(=O)C,CC1=CC=CC=C1,CC/C=C\1/C2=CC=CC=C2C(=O)O1,CC(=O)C,CCCCCCOC(=O)CCCCC,CC1=CC=C(C=C1)OC(=O)C(C)C,COC(=O)C1=CC=CC=C1O,CC(CCCC(C)(C)O)CC=O,CSC,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCCCCC(=O)C,C#CC1=CC=CC=C1,COC1=CC=C(C=C1)C=O,CCCCCC(=O)OCC,CC(=O)C(=O)O,CC(C(=O)C)O,C[C@@H](CCC=C(C)C)CCO,CC(C)(CCC1=CC=CC=C1)O,COC1=CC=CC=C1O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(=CC(=O)C)C,CCCCCC(C=C)O,CCCC(CC)O,CC1([C@H]2CCC(=C)[C@@H]1C2)C,CCOC(=O)CCC(=O)OCC,CC(C1=CC=CC=C1)C(OC)OC,CCCSCCC,,,,,,,,,,,,,
Bushdid,12,CCC(=O)OCC,CC1=CCC2CC1C2(C)C,CC(=O)O,CC(C)CCOC(=O)C,CC1=CC=CC=C1,CC/C=C\1/C2=CC=CC=C2C(=O)O1,CC(=O)C,CCCCCCOC(=O)CCCCC,CC1=CC=C(C=C1)OC(=O)C(C)C,COC(=O)C1=CC=CC=C1O,CC(CCCC(C)(C)O)CC=O,CSC,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCCCCC(=O)C,C#CC1=CC=CC=C1,COC1=CC=C(C=C1)C=O,CCCCCC(=O)OCC,CC(=O)C(=O)O,CC(C(=O)C)O,C[C@@H](CCC=C(C)C)CCO,CC(C)(CCC1=CC=CC=C1)O,COC1=CC=CC=C1O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(=CC(=O)C)C,CCCCCC(C=C)O,CCCC(CC)O,CC1([C@H]2CCC(=C)[C@@H]1C2)C,CCOC(=O)CCC(=O)OCC,CC(C1=CC=CC=C1)C(OC)OC,CCCS,,,,,,,,,,,,,
Bushdid,13,CCC/C=C/C=O,CCCCCOC(=O)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)CC(=O)O,COC1=CC=CC=C1,CCCC=O,CCC1=CC(=C(C=C1)O)OC,C1CCSC1,C1=COC(=C1)CS,CCCCCCCCCOC(=O)C,CSCSC,C1=CSC=C1,CC(=O)C1=CC=CC=C1,CCCCCC(=O)C,CCC(=O)OC,CCCCCCCC1CCC(=O)O1,CCCCNCCCC,CCOC(=O)CCC(=O)OCC,CC(C)CCOC(=O)C,COC(=O)C1=CC=CC=C1N,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,14,CCC/C=C/C=O,CCCCCOC(=O)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)CC(=O)O,COC1=CC=CC=C1,CCCC=O,CCC1=CC(=C(C=C1)O)OC,C1CCSC1,C1=COC(=C1)CS,CCCCCCCCCOC(=O)C,CSCSC,C1=CSC=C1,CC(=O)C1=CC=CC=C1,CCCCCC(=O)C,CCC(=O)OC,CC(CCCC(C)(C)O)CC=O,CCCCCCCCCCC=O,CC1=CC(=O)CC(C1)(C)C,CCCSCCC,CCCCCC(C=C)O,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,15,CC(=CCC/C(=C/CO)/C)C,CC1=CC(=O)CC(C1)(C)C,C[C@@H](CCC=C(C)C)CCO,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=C(C=C1)C=O,CCCCCCO,CCC(C=C)O,CC(C)CC=O,CC(=CC(=O)C)C,C1CCSC1,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CCCCCCCCCC(=O)OCC,CC(C(=O)O)O,CCCCCCCCCC(=O)O,C1=CC=C(C=C1)C=O,CCOC=O,C1=CC=C(C=C1)OC2=CC=CC=C2,CCCCCC(=O)OCC,CC(=O)C(=O)O,CCCCCCCC(C)O,C1=CC=C(C=C1)/C=C/C=O,CCCCCCC=O,CC1=CC(=C(C=C1)C(C)C)O,CC(C)O,COC(=O)C1=CC=CC=C1,CCCCCC1CCC(=O)O1,CC1=CCC2CC1C2(C)C,CSC,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CC1=CC=C(C=C1)O,,,,,,,,,,,,,
Bushdid,16,CC(=CCC/C(=C/CO)/C)C,CC1=CC(=O)CC(C1)(C)C,C[C@@H](CCC=C(C)C)CCO,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=C(C=C1)C=O,CCCCCCO,CCC(C=C)O,CC(C)CC=O,CC(=CC(=O)C)C,C1CCSC1,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CCCCCCCCCC(=O)OCC,CC(C(=O)O)O,CCCCCCCCCC(=O)O,C1=CC=C(C=C1)C=O,CCOC=O,C1=CC=C(C=C1)OC2=CC=CC=C2,CCCCCC(=O)OCC,CC(=O)C(=O)O,CCCCCCCC(C)O,CC(=O)O,CCCCCOC(=O)C,CCCC(CC)O,CC=O,CC(=O)C1=CC=CC=C1,CCCCCCCC(=O)OC,CCCCOC(=O)C,CC(=O)C,C1=CC=C2C(=C1)C=CN2,C#CC1=CC=CC=C1,,,,,,,,,,,,,
Bushdid,17,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CSCSC,CCCCCCCC(C)O,CC(C)O,CC(C)(CCC1=CC=CC=C1)O,CC1(C2CCC(O1)(CC2)C)C,CC1=CC=C(C=C1)OC(=O)C,CC1=CC=C(C=C1)OC,CCCCCCCC(=O)OC,CC1=CC=CC=C1,CCCCCCC=O,CCCSCCC,COC(=O)C1=CC=CC=C1N,CC(C)CC(=O)O,CCCCC(=O)O,CCCCCCCCC(=O)C,CC/C=C\1/C2=CC=CC=C2C(=O)O1,CCOC(=O)C1=CC=CC=C1,CC(=O)O,C1=CC=C(C=C1)C=O,C1=CC=C2C(=C1)C=CN2,CC1=CCC2CC1C2(C)C,CC(=O)C1=CC=CC=C1,CCC(=O)OC,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CCCCCCCCCC(=O)OCC,CCCC(=O)CC,CCCC(C)O,C1=CC=C(C=C1)CC(=O)O,C1=CC=C(C=C1)/C=C/C=O,,,,,,,,,,,,,
